Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir,WindSpeed,Humidity,Pressure,Cloud,Temp,RainToday,RainTomorrow
Albury,1.3,8.8,0,,,N,20,NNW,9,91,1019.9,8,7.3,No,Yes
Launceston,1.4,13.8,0.2,,,WNW,24,WNW,11,52,,,13.2,No,Yes
Mildura,10.9,34.3,0,,,WNW,37,W,9,9,1012.6,4,32.4,No,No
WaggaWagga,6,13.8,0,0.8,0.1,ENE,30,ENE,13,81,1011,7,13.3,No,Yes
Brisbane,20.5,24.8,41.8,4.6,0,WSW,22,S,4,91,1004.8,8,19.9,Yes,Yes
Witchcliffe,5,19.5,0.2,,,WSW,26,W,17,60,1023.3,,18.1,No,No
Townsville,23.5,36.1,12.4,8.4,10.9,SSW,59,ENE,30,53,1000.8,3,33.4,Yes,No
Dartmoor,5.5,13.3,2.4,2.2,2.7,NW,50,NNW,13,99,1009.2,,10.8,Yes,Yes
Albany,17.2,19,0.6,7.4,0.6,,,S,20,76,1012.8,8,17.4,No,No
Walpole,10.1,15.9,19.8,,,NW,46,SW,13,64,1019.4,,13.8,Yes,Yes
Townsville,22.4,31.8,0,11.4,11.9,ENE,39,ENE,28,54,1011.5,1,29.9,No,No
Albany,16,21.5,0.8,4.4,4.2,,,,19,65,1019.3,7,20.8,No,No
Townsville,13,25.9,0,5.4,10.3,ENE,31,ENE,26,65,1012.3,2,25,No,No
CoffsHarbour,9,19.8,0,,,SW,39,SSW,20,56,1014.1,7,17.8,No,No
Perth,14.5,23.4,0,5.4,10.8,W,30,W,15,66,1009.6,4,20.4,No,No
Penrith,11.9,12.9,18,,,SW,20,SW,13,99,,,12.5,Yes,Yes
Walpole,11.2,18.7,0,,,N,43,NNW,9,49,1016.7,,18.5,No,No
Cairns,23.9,32.1,0.4,,,NNE,24,NNE,13,70,1006.8,1,31.2,No,No
Dartmoor,6.1,32.2,0,6.6,8.3,NW,48,NNW,28,18,1010.3,,31.4,No,No
PearceRAAF,13.5,35.6,0,,12.9,E,65,ESE,26,13,1016,,34.9,No,No
Wollongong,14.7,26.8,0,,,SSE,39,SSE,24,73,1010.1,,20.1,No,Yes
Uluru,-0.7,20.8,0,,,NW,24,WNW,6,21,1018.5,,20.2,No,No
Moree,22.9,34.8,0.4,10.6,7.5,S,50,NNE,9,39,1007.6,7,33.1,No,Yes
MelbourneAirport,7.2,12.2,0.2,3.2,0,N,35,E,17,59,1012.5,7,11.9,No,Yes
MelbourneAirport,7.6,16.3,0.6,3.8,6.7,N,63,SSW,17,60,1020.3,3,15.1,No,No
Nhil,7.9,13.5,0.2,,,ESE,30,S,13,91,1019.6,,10.7,No,Yes
Sale,8.6,20.5,0,2,5.5,WSW,59,WNW,31,38,999.3,8,18.4,No,No
PearceRAAF,11.6,20.6,6.8,,7.8,WNW,57,W,26,67,1006.7,7,18.5,Yes,Yes
NorahHead,10.1,20.1,0.4,,,NNW,70,NNW,19,59,1009.9,,18.5,No,Yes
GoldCoast,23.9,30.9,0,,,WSW,61,NNE,30,79,1006.2,,27,No,Yes
Nuriootpa,7,13.8,4.4,1.2,1.3,ENE,26,NNW,7,70,1010.1,7,13.1,Yes,Yes
Williamtown,15.8,24.3,0.2,5.6,8.9,S,37,SSE,20,56,1015.3,3,22.7,No,No
Canberra,0.9,20.7,0,5.4,8.4,NNW,39,N,17,29,1018.4,8,19.1,No,No
Portland,5.4,10.2,14.8,1.8,6.1,WSW,80,WSW,41,77,1017.7,7,6.7,Yes,Yes
Walpole,12.3,17.9,7.8,,,NNW,57,NW,30,59,999.4,,16.9,Yes,Yes
Penrith,11.8,14.6,6.2,,,SSW,44,SSW,20,94,,,13.9,Yes,Yes
Watsonia,10.3,16.8,0.4,1.8,1,NNE,69,N,24,63,1004.3,7,14.9,No,Yes
Wollongong,18.5,24.4,0,,,SSE,52,ESE,9,82,1008.4,4,22.4,No,Yes
Launceston,16.1,23.4,0,,,N,37,NNW,17,64,1006.3,,20.9,No,Yes
Cobar,21.1,32.4,2.4,7.4,,N,50,NE,24,49,1001.9,5,29.7,Yes,Yes
Hobart,8.6,19.2,3.6,3.4,9.6,WNW,61,NW,33,45,1005,,18,Yes,No
MountGinini,-6.6,1.4,0.2,,,NNE,30,W,6,61,,,0.4,No,No
Williamtown,14.9,30.5,0,5.8,10.3,SSW,50,N,11,42,1015.9,1,29.6,No,Yes
Brisbane,12.4,21.2,8,5.8,8.3,SE,48,SSE,20,49,1026.1,5,20.3,Yes,Yes
NorfolkIsland,14.5,18.7,0.6,3.8,7.3,SW,54,WSW,30,61,1013.4,6,17.7,No,Yes
BadgerysCreek,12.5,18.3,4.6,,,SW,46,S,19,69,1014.6,,18,Yes,Yes
Sydney,10.7,17.4,0,3.4,2.1,S,41,S,22,66,1028.8,7,16.4,No,Yes
Launceston,7.6,14.2,6.8,,,NNW,54,NW,20,90,991.2,,9,Yes,Yes
Woomera,7.5,15.8,0,3.6,9.4,SE,22,E,4,42,1024.4,2,15.4,No,No
GoldCoast,9.7,27.3,0,,,NW,52,WNW,30,11,1004.7,,26.4,No,No
SalmonGums,12.8,23,2.8,,,S,28,S,17,54,,,21.5,Yes,No
Bendigo,3.7,9.5,1.2,0.4,,NNW,22,N,13,90,1004.6,7,8.7,Yes,No
Sydney,11.2,19.1,1.8,0.8,2.2,W,28,ESE,9,70,1023.4,7,16.4,Yes,No
CoffsHarbour,10.7,23.8,0,,,ESE,19,E,13,51,1009.8,,22.9,No,No
Brisbane,17,27.5,0.4,2.6,10.4,ESE,30,E,13,48,1021.3,3,26.5,No,No
Portland,11,19.1,0,,,W,57,W,28,89,1009.3,8,14.8,No,Yes
GoldCoast,20.7,28.8,7.4,,,SSE,54,SSE,37,56,1019.6,,27.4,Yes,Yes
CoffsHarbour,6.6,19,0,3.6,,WSW,31,ENE,11,35,1014.8,,18.4,No,No
CoffsHarbour,14.6,20.5,8.2,1.8,0,WSW,37,SSW,15,88,1019.6,8,18.2,Yes,Yes
Canberra,12,28.9,0,7.2,8.2,ESE,39,WNW,9,31,1009.1,7,28.6,No,Yes
Cairns,24.2,31,27.4,7,4.9,S,35,ENE,20,72,1005.5,7,30.2,Yes,Yes
Newcastle,21.7,35,4,,,,,NE,28,34,,4,34.2,Yes,No
Cairns,22.5,31.3,74.2,,9.5,NNE,35,NNE,15,62,1006.3,4,30.6,Yes,No
NorfolkIsland,17.4,20.6,21,2.2,,W,72,WSW,20,67,1007.1,1,19.8,Yes,No
CoffsHarbour,17.1,20.5,19.6,4.8,0,E,69,ESE,41,69,1016.8,8,20.3,Yes,Yes
Sale,4.5,15.1,0,1.4,5.6,W,59,W,35,72,1013.6,7,12.1,No,Yes
Melbourne,12.7,17.6,0,5,4.7,SW,37,SE,24,57,1010,7,15.9,No,No
SalmonGums,15.6,25.9,0.4,,,SSE,50,SE,26,49,,,24.1,No,No
Canberra,10.6,17.2,2.2,,,NNW,54,NW,33,87,1007,8,16.6,Yes,Yes
Hobart,14.7,21.8,7.4,1.8,8.2,W,52,SSE,19,74,1007.2,2,18.1,Yes,No
Cobar,22.3,33,1,10.2,,ESE,44,ESE,22,31,1011.9,7,32.7,No,Yes
MountGinini,-2.1,2.1,3,,,NW,39,E,17,,,,,Yes,Yes
MountGinini,11.7,16.4,35.2,,,NE,56,NNE,17,99,,,15.6,Yes,Yes
Albury,4.1,12.8,0.2,,,NW,17,WNW,7,61,1012.6,8,12,No,Yes
PearceRAAF,11.5,32.6,0,,13,SSW,43,SSW,26,25,1009.9,,31.2,No,No
Mildura,8.3,18.2,1.4,1.9,0.8,N,33,NE,17,71,1012,8,17.3,Yes,Yes
Walpole,16.2,20.2,0,,,ESE,43,ESE,24,72,1012.7,,19.7,No,No
Nuriootpa,4.7,12.3,14.8,,7.3,SW,72,WSW,31,68,1014.2,5,11.4,Yes,Yes
Williamtown,11.3,25.6,0,5,9.5,SE,35,E,24,58,1020.8,1,24.4,No,No
Woomera,7,20.1,0,4,,WSW,41,W,26,32,1021,0,19.5,No,No
Perth,18.2,33.2,0,8,7.4,SSW,31,SW,17,29,1008.2,5,30.7,No,Yes
MountGinini,-1,1.6,11.8,,,NNE,33,ESE,4,94,,,0.6,Yes,Yes
SydneyAirport,10,19.6,2,3.6,8.8,SW,63,SW,35,45,1011.6,6,16.4,Yes,Yes
Bendigo,2.9,26.9,0,,,N,44,NNW,20,25,1013.2,,26.2,No,No
PearceRAAF,12.3,22.6,13.6,,6.1,WNW,63,NW,31,66,1007.8,5,19.6,Yes,Yes
MountGinini,-1,4,4.6,,,W,81,W,30,97,,,0.6,Yes,Yes
Moree,6,22.7,0,5.4,12,ENE,30,SSE,6,26,1018.6,1,21.6,No,No
Moree,0.4,16.3,0,2.8,9.7,SW,26,SW,9,41,1024.8,1,15.6,No,No
MountGinini,7.9,20,0,,,WNW,50,WNW,20,45,,,18.9,No,Yes
PerthAirport,11.7,31.1,0,9.2,12.7,ENE,50,E,19,9,1015.5,0,30.2,No,No
Wollongong,15.2,24.8,51,,,NNE,61,NE,31,86,1003,,21.7,Yes,Yes
NorahHead,15.2,19.6,0,,,SSE,57,S,24,46,1012.6,,18.8,No,Yes
NorfolkIsland,18.9,22.3,4.8,5.6,1.1,E,57,ESE,26,82,1012.3,7,21.6,Yes,Yes
Townsville,13.8,26.2,0,6.4,9.6,E,39,ENE,31,49,1017.7,5,23.1,No,No
Nuriootpa,22,40,0,12.6,13,NNW,65,WSW,30,19,1008.3,3,37,No,No
Adelaide,7.2,18.1,,,5.6,NNW,39,NNW,19,37,1012.4,,17.8,,Yes
CoffsHarbour,17.2,22.8,32.2,,,WSW,35,SSE,22,67,1017.2,4,22.2,Yes,No
Sydney,14.3,24,0,5.8,11.4,S,43,SE,26,46,1009.4,,22.7,No,Yes
Adelaide,15.6,35.7,0,,,WNW,30,WNW,11,11,1008.5,,35.2,No,No
SydneyAirport,16.7,29.7,2.2,5,9.6,S,59,ENE,24,63,1012.2,6,22.8,Yes,Yes
Tuggeranong,16,32.3,0,,,ENE,39,N,9,25,1012.8,,29.4,No,No
Nuriootpa,0.8,13.1,0,1,7.8,ENE,26,NNE,13,54,1025.5,4,13,No,No
Portland,20.6,33.8,0,12.4,10.1,WSW,28,SSE,11,67,1015,8,23.8,No,No
MountGambier,15.6,20.4,1.2,9.2,4.1,N,94,NW,46,88,998.2,8,16,Yes,Yes
MountGambier,10.2,15.1,4,1.2,,WNW,41,WNW,17,81,1020.3,8,14,Yes,Yes
Townsville,23.6,29.2,38.2,9.2,1,ENE,35,NE,17,86,1005.6,7,26.3,Yes,Yes
Williamtown,16.8,27,10.8,26.6,,E,50,ENE,28,45,1021.1,5,25.7,Yes,No
Adelaide,4.8,15,0,,,E,24,E,11,40,1035.2,,14.4,No,No
Brisbane,15.1,26.4,0,5.8,10.2,E,20,E,9,57,1019.7,3,25.1,No,No
Albany,4.8,19.4,0.8,1.6,10.3,,,NW,17,50,1017,2,18.5,No,Yes
Adelaide,13.1,29.3,0,19.2,,N,46,WNW,9,14,1017.4,,27,No,No
Cairns,22.6,33,0.4,8.6,10.9,ENE,37,ESE,28,51,1010.6,2,30.6,No,No
Williamtown,5.6,15,0,2.2,0.5,NW,20,NW,13,94,1028.4,7,14.2,No,Yes
PearceRAAF,21.3,37.3,0,,8.9,,,NNE,9,21,1006.9,2,36.1,No,No
Newcastle,10.6,24.4,0,,,,,NW,15,31,,0,24.3,No,No
Portland,11,18.5,0.4,5.8,9.9,WNW,54,W,35,59,1015.1,4,17.4,No,Yes
GoldCoast,14.1,22.7,7.4,,,SSE,52,S,30,58,1021.4,,21.3,Yes,No
Walpole,16.6,35.5,0,,,NNE,37,SSE,11,46,1001.7,,32.2,No,No
Dartmoor,5.7,12.9,11.4,2,4.3,NNW,46,NW,20,89,1001,,10.1,Yes,Yes
SydneyAirport,19.1,23,0,7.6,5.8,SSW,69,SSE,26,51,1008,7,21.5,No,No
Perth,21.3,37.8,0,12.4,9,NW,30,W,11,36,1001.8,7,31.1,No,No
Moree,15.2,29.7,0,7.6,10.2,ESE,33,ENE,13,45,1020.9,5,26,No,No
Townsville,21.5,29.6,17.4,2.8,4.6,ESE,37,ENE,22,78,1012,7,28.6,Yes,Yes
Sydney,16.6,25.8,3.2,,8.7,E,31,E,19,60,1013.4,,25,Yes,Yes
Penrith,20.6,26.4,0,,,SE,28,SE,15,57,,,25.7,No,Yes
MountGambier,5.4,16.4,0,1.2,4.6,W,26,W,19,69,1021,7,15.4,No,No
Penrith,15.2,18.9,0,,,S,39,SSE,15,65,,,17.7,No,No
Cairns,23.9,33.8,0.8,7.5,4.4,ESE,37,ESE,24,33,1009.5,6,31.9,No,No
NorahHead,21.1,30.3,0.2,,,S,76,NE,26,77,1003.8,,27.8,No,Yes
Cobar,16.1,30.8,0,12.6,,SE,52,SW,13,35,1008.7,3,29.2,No,Yes
Moree,19.5,25.3,0,19.6,,NNE,59,N,13,80,1010.2,7,21.8,No,Yes
Walpole,6.3,20.3,0,,,NNE,26,S,9,63,1023,,17.5,No,No
SalmonGums,17,21,8,,,ESE,37,SE,19,77,,,20.4,Yes,Yes
NorfolkIsland,16.5,23.2,0.2,3.6,9,E,43,E,26,71,1018.6,7,21.9,No,Yes
MelbourneAirport,7.9,18.9,1.2,0.4,6.9,N,24,WSW,4,63,1024.8,6,18.3,Yes,No
NorfolkIsland,14.6,20.9,0.2,2.8,,N,52,N,24,74,1012.1,8,20.2,No,Yes
MountGambier,12.4,27.1,0,7.8,4.7,NW,72,NW,28,63,1011.9,8,18.8,No,Yes
Newcastle,18,27.2,25.2,,,,,NE,9,67,,6,26.2,Yes,No
Portland,13.8,17.2,9,0.6,3.2,SW,54,WSW,26,87,1009.1,8,15.4,Yes,Yes
Walpole,10.9,15.8,14.8,,,WNW,59,NW,17,77,1006.4,,13.3,Yes,Yes
Perth,14.9,19.5,20,7.6,2.8,SSW,46,WNW,9,80,996.8,7,17,Yes,Yes
CoffsHarbour,9.9,23.7,0,4.4,11.2,ESE,28,ESE,17,48,1009.4,7,22,No,No
Watsonia,9.3,14.8,0,2,4.3,WNW,44,NNW,22,63,1016.7,7,14.2,No,Yes
Bendigo,-1.5,13.9,0.2,,,SSE,37,SE,17,58,1034,7,12.7,No,No
Hobart,14.7,18,7.2,5.2,0,NNE,26,SSE,6,92,1005.7,8,17.4,Yes,Yes
Penrith,8.9,23.5,0,,,NE,26,NE,6,34,,,23,No,No
Mildura,4.9,25,0,4.2,10.9,SSW,24,S,13,22,1025.2,0,24.4,No,No
Albany,12.9,22.2,0,,,,,,,,1013.2,,,No,No
Brisbane,16.3,26.2,0,6.6,8.9,ESE,35,ESE,13,56,1023.9,6,24,No,No
SalmonGums,10.2,13,9.8,,,WNW,57,WNW,26,74,,,11,Yes,Yes
Witchcliffe,10.4,24.6,0,,,SSE,43,SE,15,41,1019,,23.4,No,No
BadgerysCreek,5.9,13.2,0,,,N,17,NNE,11,100,1013.9,,12.6,No,Yes
